Rank,Country name,Ladder score,Logged GDP per capita,Healthy life expectancy,Generosity
1,Finland,7.842,10.775,72,-0.098
2,Denmark,7.62,10.933,72.7,0.03
3,Switzerland,7.571,11.117,74.4,0.025
4,Iceland,7.554,10.878,73,0.16
5,Netherlands,7.464,10.932,72.4,0.175
6,Norway,7.392,11.053,73.3,0.093
7,Sweden,7.363,10.867,72.7,0.086
8,Luxembourg,7.324,11.647,72.6,-0.034
9,New Zealand,7.277,10.643,73.4,0.134
10,Austria,7.268,10.906,73.3,0.042
11,Australia,7.183,10.796,73.9,0.159
12,Israel,7.157,10.575,73.503,0.031
13,Germany,7.155,10.873,72.5,0.011
14,Canada,7.103,10.776,73.8,0.089
15,Ireland,7.085,11.342,72.4,0.077
16,Costa Rica,7.069,9.88,71.4,-0.126
17,United Kingdom,7.064,10.707,72.5,0.233
18,Czech Republic,6.965,10.556,70.807,-0.208
19,United States,6.951,11.023,68.2,0.098
20,Belgium,6.834,10.823,72.199,-0.153
21,France,6.69,10.704,74,-0.147
22,Bahrain,6.647,10.669,69.495,0.089
23,Malta,6.602,10.674,72.2,0.133
24,Taiwan Province of China,6.584,10.871,69.6,-0.07
25,United Arab Emirates,6.561,11.085,67.333,0.074
26,Saudi Arabia,6.494,10.743,66.603,-0.149
27,Spain,6.491,10.571,74.7,-0.081
28,Italy,6.483,10.623,73.8,-0.084
29,Slovenia,6.461,10.529,71.4,-0.101
30,Guatemala,6.435,9.053,64.958,-0.038
31,Uruguay,6.431,9.966,69.1,-0.092
32,Singapore,6.377,11.488,76.953,-0.018
33,Kosovo,6.372,9.318,63.813,0.257
34,Slovakia,6.331,10.369,69.201,-0.124
35,Brazil,6.33,9.577,66.601,-0.071
36,Mexico,6.317,9.859,68.597,-0.147
37,Jamaica,6.309,9.186,67.5,-0.137
38,Lithuania,6.255,10.499,67.906,-0.203
39,Cyprus,6.223,10.576,73.898,-0.015
40,Estonia,6.189,10.481,68.8,-0.106
41,Panama,6.18,10.35,69.652,-0.166
42,Uzbekistan,6.179,8.836,65.255,0.311
43,Chile,6.172,10.071,70,-0.044
44,Poland,6.166,10.382,69.702,-0.165
45,Kazakhstan,6.152,10.155,65.2,-0.069
46,Romania,6.14,10.284,67.355,-0.219
47,Kuwait,6.106,10.817,66.9,-0.104
48,Serbia,6.078,9.787,68.6,0.002
49,El Salvador,6.061,9.054,66.402,-0.11
50,Mauritius,6.049,10.008,66.701,-0.054
51,Latvia,6.032,10.315,67.1,-0.162
52,Colombia,6.012,9.557,68.001,-0.135
53,Hungary,5.992,10.358,68,-0.186
54,Thailand,5.985,9.805,67.401,0.287
55,Nicaragua,5.972,8.62,67.657,0.02
56,Japan,5.94,10.611,75.1,-0.258
57,Argentina,5.929,9.962,69,-0.182
58,Portugal,5.929,10.421,72.6,-0.244
59,Honduras,5.919,8.648,67.3,0.081
60,Croatia,5.882,10.217,70.799,-0.118
61,Philippines,5.88,9.076,62,-0.097
62,South Korea,5.845,10.651,73.9,-0.083
63,Peru,5.84,9.458,68.25,-0.154
64,Bosnia and Herzegovina,5.813,9.59,68.098,0.113
65,Moldova,5.766,9.454,65.699,-0.079
66,Ecuador,5.764,9.313,68.8,-0.124
67,Kyrgyzstan,5.744,8.538,64.401,0.119
68,Greece,5.723,10.279,72.6,-0.288
69,Bolivia,5.716,9.046,63.901,-0.077
70,Mongolia,5.677,9.4,62.5,0.116
71,Paraguay,5.653,9.448,65.9,0.028
72,Montenegro,5.581,9.94,68.699,-0.034
73,Dominican Republic,5.545,9.802,66.102,-0.133
74,North Cyprus,5.536,10.576,73.898,0.012
75,Belarus,5.534,9.853,66.253,-0.18
76,Russia,5.477,10.189,64.703,-0.111
77,Hong Kong S.A.R. of China,5.477,11,76.82,0.067
78,Tajikistan,5.466,8.091,64.281,-0.056
79,Vietnam,5.411,8.973,68.034,-0.098
80,Libya,5.41,9.622,62.3,-0.087
81,Malaysia,5.384,10.238,67.102,0.125
82,Indonesia,5.345,9.365,62.236,0.542
83,Congo (Brazzaville),5.342,8.117,58.221,-0.068
84,China,5.339,9.673,69.593,-0.146
85,Ivory Coast,5.306,8.551,50.114,-0.016
86,Armenia,5.283,9.487,67.055,-0.168
87,Nepal,5.269,8.12,64.233,0.152
88,Bulgaria,5.266,10.016,67,-0.096
89,Maldives,5.198,9.826,70.6,0.024
90,Azerbaijan,5.171,9.569,65.656,-0.223
91,Cameroon,5.142,8.189,53.515,0.026
92,Senegal,5.132,8.118,59.802,-0.046
93,Albania,5.117,9.52,68.999,-0.03
94,North Macedonia,5.101,9.693,65.474,0.038
95,Ghana,5.088,8.58,57.586,0.123
96,Niger,5.074,7.098,53.78,0.018
97,Turkmenistan,5.066,9.629,62.409,0.273
98,Gambia,5.051,7.686,55.16,0.424
99,Benin,5.045,8.087,54.713,-0.034
100,Laos,5.03,8.947,58.968,0.123
101,Bangladesh,5.025,8.454,64.8,-0.041
102,Guinea,4.984,7.838,55.008,0.095
103,South Africa,4.956,9.403,56.904,-0.067
104,Turkey,4.948,10.24,67.199,-0.139
105,Pakistan,4.934,8.458,58.709,0.098
106,Morocco,4.918,8.903,66.208,-0.236
107,Venezuela,4.892,9.073,66.7,-0.169
108,Georgia,4.891,9.585,64.3,-0.238
109,Algeria,4.887,9.342,66.005,-0.067
110,Ukraine,4.875,9.436,64.902,-0.011
111,Iraq,4.854,9.24,60.583,-0.053
112,Gabon,4.852,9.603,59.962,-0.2
113,Burkina Faso,4.834,7.678,54.151,-0.009
114,Cambodia,4.83,8.36,62,0.034
115,Mozambique,4.794,7.158,54.706,0.061
116,Nigeria,4.759,8.533,50.102,0.037
117,Mali,4.723,7.744,51.969,-0.036
118,Iran,4.721,9.584,66.3,0.218
119,Uganda,4.636,7.677,56.101,0.122
120,Liberia,4.625,7.288,56.498,0.05
121,Kenya,4.607,8.361,60.704,0.287
122,Tunisia,4.596,9.266,67.201,-0.201
123,Lebanon,4.584,9.626,67.355,-0.073
124,Namibia,4.574,9.161,56.799,-0.149
125,Palestinian Territories,4.517,8.485,62.25,-0.163
126,Myanmar,4.426,8.541,59.302,0.509
127,Jordan,4.395,9.182,67,-0.167
128,Chad,4.355,7.364,48.478,0.041
129,Sri Lanka,4.325,9.47,67.299,0.079
130,Swaziland,4.308,9.065,50.833,-0.185
131,Comoros,4.289,8.031,57.349,0.082
132,Egypt,4.283,9.367,61.998,-0.182
133,Ethiopia,4.275,7.694,59,0.082
134,Mauritania,4.227,8.542,57.161,-0.106
135,Madagascar,4.208,7.396,59.305,-0.005
136,Togo,4.107,7.362,54.914,0.032
137,Zambia,4.073,8.145,55.809,0.061
138,Sierra Leone,3.849,7.434,51.651,0.084
139,India,3.819,8.755,60.633,0.089
140,Burundi,3.775,6.635,53.4,-0.024
141,Yemen,3.658,7.578,57.122,-0.147
142,Tanzania,3.623,7.876,57.999,0.183
143,Haiti,3.615,7.477,55.7,0.422
144,Malawi,3.6,6.958,57.948,0.038
145,Lesotho,3.512,7.926,48.7,-0.131
146,Botswana,3.467,9.782,59.269,-0.246
147,Rwanda,3.415,7.676,61.4,0.061
148,Zimbabwe,3.145,7.943,56.201,-0.047
149,Afghanistan,2.523,7.695,52.493,-0.102
